city,lat,lng,country,admin
Thu Duc,10.8266,106.7609,Vietnam,admin
Odesa,46.492,30.7081,Ukraine,admin
Raipur,21.2444,81.6306,India,admin
Changwon,35.2708,128.6631,"Korea, South",admin
Volgograd,48.7086,44.5147,Russia,admin
Morelia,19.7683,-101.1894,Mexico,admin
Kota,25.18,75.83,India,admin
Quetta,30.1833,67,Pakistan,admin
Domaa-Ahenkro,7.2739,-2.8735,Ghana,admin
Bareilly,28.3667,79.4306,India,admin
Liaoyuan,42.888,125.1447,China,admin
Stockholm,59.3275,18.0547,Sweden,admin
Bordeaux,44.84,-0.58,France,admin
Taixing,32.159,120.029,China,admin
Esenyurt,41.0342,28.68,Turkey,admin
Pekanbaru,0.5092,101.4453,Indonesia,admin
